,Node1,Node2
255,FOXO1,MAPK1
256,FOXO1,SIRT1
257,FOXO1,CDKN1B
258,FOXO1,YWHAH
259,FOXO1,G6PC
260,FOXO1,SMAD2
261,FOXO1,CREBBP
262,FOXO1,MAPK3
263,FOXO1,EP300
264,FOXO1,AKT3
265,FOXO1,STAT3
266,FOXO1,PPARGC1A
267,FOXO1,CDK2
268,FOXO1,SKP2
269,FOXO1,STAT6
270,FOXO1,CEBPB
271,FOXO1,CSNK1G1
272,FOXO1,YWHAG
273,FOXO1,PRKACA
274,FOXO1,SMAD3
275,FOXO1,FOXG1
276,FOXO1,SFN
277,FOXO1,SMAD4
278,FOXO1,JAK1
279,FOXO1,CTNNB1
280,FOXO1,FASLG
281,FOXO1,SGK1
282,FOXO1,IL6R
283,FOXO1,RAG1
284,FOXO1,LMO4
285,FOXO1,PRKACB
286,FOXO1,STK4
287,FOXO1,YWHAB
288,FOXO1,FOXO4
289,FOXO1,PRKACG
290,FOXO1,FOXO1
291,FOXO1,PDX1
292,FOXO1,IL6ST
293,FOXO1,YWHAQ
294,FOXO1,AKT2
295,FOXO1,YWHAZ
296,FOXO1,INS
297,FOXO1,NLK
298,FOXO1,CDKN1A
299,FOXO1,XPO1
300,FOXO1,IL6
301,FOXO1,FOXO3
302,FOXO1,FHL2
303,FOXO1,PRMT1
304,FOXO1,AKT1
305,FOXO1,RAG2
306,SMAD3,TGFB1
307,SMAD3,MAPK1
308,SMAD3,SERPINE1
309,SMAD3,ACVR2A
310,SMAD3,ACVR1C
311,SMAD3,CDK4
312,SMAD3,MYOD1
313,SMAD3,CDH1
314,SMAD3,SMAD2
315,SMAD3,AXIN1
316,SMAD3,CREBBP
317,SMAD3,SMURF2
318,SMAD3,MAPK3
319,SMAD3,EP300
320,SMAD3,KAT2B
321,SMAD3,CDK2
322,SMAD3,PIAS4
323,SMAD3,ZFYVE9
324,SMAD3,TDGF1
325,SMAD3,FOS
326,SMAD3,HNF4A
327,SMAD3,SMAD3
328,SMAD3,IL37
329,SMAD3,MEN1
330,SMAD3,ACVR2B
331,SMAD3,SMAD4
332,SMAD3,ATF3
333,SMAD3,TGFBR2
334,SMAD3,SMURF1
335,SMAD3,TGFB2
336,SMAD3,JUN
337,SMAD3,RUNX2
338,SMAD3,CDK9
339,SMAD3,RBL1
340,SMAD3,AR
341,SMAD3,TGFBR1
342,SMAD3,FOXH1
343,SMAD3,SKI
344,SMAD3,E2F4
345,SMAD3,FOXO1
346,SMAD3,MAPK8
347,SMAD3,NEDD4L
348,SMAD3,CDKN1A
349,SMAD3,FOXO3
350,SMAD3,E2F5
351,SMAD3,ESR1
352,SMAD3,SKIL
353,SMAD3,ACVR1B
354,SMAD3,VDR
355,SMAD3,RNF111
356,SMAD3,MYC
357,KCNJ11,WFS1
358,KCNJ11,KCNQ1
359,KCNJ11,GCK
360,KCNJ11,KCNJ8
361,KCNJ11,NEUROG3
362,KCNJ11,MTNR1B
363,KCNJ11,ABCC9
364,KCNJ11,CACNA1C
365,KCNJ11,CDKAL1
366,KCNJ11,CDC123
367,KCNJ11,HHEX
