,TF,Target,Mode of Regulation,References
1735,ESR1,E2F1,Unknown,10446910;12697671
1737,ESR1,ESR1,Unknown,16636675
1748,ESR1,JUN,Activation,11477071
1749,ESR1,JUN,Unknown,10037443
1750,ESR1,JUNB,Activation,11477071
1757,ESR1,MYC,Unknown,11517191;19569049;22892083
1763,ESR1,PGR,Activation,10894148;12554765
1764,ESR1,PGR,Unknown,10835496
1771,ESR1,RUNX2,Unknown,11604227
1774,ESR1,SP1,Unknown,19652226
1781,ESR1,TP53,Repression,17681750
1799,ESR2,JUN,Unknown,10037443
1847,ETS1,EGR1,Activation,19074849
1848,ETS1,EGR1,Unknown,9207063
1879,ETS1,NKX3-1,Activation,20842667
1880,ETS1,PARP1,Activation,11973649;24448423
1881,ETS1,PARP1,Repression,10435618
1897,ETS1,TFAP2A,Activation,12843180
1904,ETS1,TP53,Unknown,10510472
1910,ETS1,WT1,Activation,18064385
1923,ETS2,EGR1,Unknown,9207063
1936,ETS2,MYC,Unknown,22108824
1941,ETS2,TP53,Unknown,10510472
1943,ETV1,AR,Unknown,17505060
1946,ETV3,NFKB1,Repression,18025162
1947,ETV3,RELA,Repression,18025162
1997,EZH2,BRCA1,Unknown,21406404
2010,EZH2,FOXC1,Repression,21465172
2011,EZH2,HDAC1,Repression,20132185
2017,EZH2,MYC,Repression,23079660
2031,EZH2,TP53,Repression,20132185
2032,EZH2,TP53,Unknown,24006445
2034,EZH2,VDR,Unknown,23424038
2038,FHL2,NFKB1,Unknown,18752053
2039,FHL2,RELA,Unknown,18752053
2044,FLI1,EP300,Unknown,24058639
2048,FLI1,FOXM1,Activation,23365673
2052,FLI1,HDAC1,Unknown,24058639
2102,FOS,MYC,Repression,2498162
2104,FOS,NFKB1,Repression,20188076
2116,FOS,PGR,Unknown,14684847
2129,FOS,TP53,Unknown,10348347
2144,FOSL2,BRCA1,Activation,17434164
2162,FOXA1,BRCA1,Unknown,16331276
2165,FOXA1,ESR1,Unknown,20501593;24290378
2169,FOXA1,MYC,Unknown,24512546
2223,FOXH1,AR,Repression,16120611
2234,FOXL2,SIRT1,Activation,19010791
2237,FOXM1,AR,Activation,24583551
2249,FOXM1,MYC,Activation,23804320
2257,FOXO1,AR,Repression,19074551
2261,FOXO1,EGR1,Repression,22865884
2270,FOXO1,KLF2,Unknown,23002242
2281,FOXO3,AR,Activation,16061480
2282,FOXO3,AR,Unknown,17522055
2290,FOXO3,FOXM1,Repression,19276163
2294,FOXO3,SIRT1,Activation,23525956
2302,FOXO4,HIF1A,Repression,12761217;20136501
2317,FOXP3,BRCA1,Repression,23319807
2335,FUBP1,MYC,Unknown,11239393;18193062;24117486
2337,FUS,AR,Unknown,21909421
2359,GATA1,COPS5,Unknown,21689417
2404,GATA1,RUNX1,Unknown,16628190
2411,GATA1,WT1,Activation,19212333
2412,GATA1,WT1,Unknown,10360378
2416,GATA2,AR,Activation,24423874
2428,GATA2,PPARG,Repression,19772889
2433,GATA2,WT1,Activation,19212333
2447,GATA3,ESR1,Unknown,17616709
2448,GATA3,FOXC1,Repression,22120723
2451,GATA3,GATA3,Unknown,20484083
2463,GATA3,NFKB1,Unknown,19686049
2465,GATA3,RELA,Unknown,19686049
2517,GFI1B,MEF2C,Repression,21261500
2529,GLI1,JUN,Unknown,19219074
2543,GLI2,FOXA2,Unknown,19360354
2552,GLI2,JUN,Unknown,19219074
2569,GTF2I,SIRT1,Activation,21407215
2574,GTF3A,STAT1,Unknown,12364590
2582,HBP1,DNMT1,Repression,23249948
2585,HCFC1,E2F1,Activation,17612494;19763085
2586,HCFC1,E2F4,Repression,17612494
2591,HDAC1,AR,Unknown,11971970
2614,HDAC1,DNMT1,Unknown,23242655
2615,HDAC1,E2F1,Repression,9724731
2617,HDAC1,EGR1,Repression,21983014
2620,HDAC1,ESR1,Repression,18316616;20101232;23242655
2621,HDAC1,ESR1,Unknown,21655924
2631,HDAC1,KLF4,Repression,15051827
2638,HDAC1,NFKB1,Unknown,24448807
2661,HDAC1,SP1,Repression,21636851
2663,HDAC1,STAT3,Unknown,18611949
2668,HDAC1,TP53,Repression,15130752
2673,HDAC11,MYC,Unknown,20493879
2689,HDAC2,DNMT1,Repression,22328086
2692,HDAC2,KLF4,Repression,19486889
2694,HDAC2,MYC,Unknown,20493879
2698,HDAC2,SP1,Repression,21636851
2711,HDAC3,GATA2,Repression,11567998
2716,HDAC3,JUN,Repression,17244530
2721,HDAC3,MYC,Repression,19279113;23079660;23714368
2728,HDAC4,ATF4,Unknown,24308964
2732,HDAC4,HDAC3,Unknown,11804585
2736,HDAC4,JUN,Activation,10523670
2737,HDAC4,JUN,Repression,10523670
2738,HDAC4,KLF4,Unknown,21118993
2746,HDAC4,RUNX2,Repression,19509297
2753,HDAC4,WT1,Repression,18064385
2762,HDAC5,WT1,Repression,18064385
2763,HDAC5,YY1,Activation,18632988
2768,HDAC7,ESR1,Repression,21078666
2770,HDAC7,HIF1A,Activation,20693714
2771,HDAC7,HIF1A,Repression,22172637
2774,HDAC7,MEF2C,Repression,11585834
2784,HDAC9,ESR1,Repression,19185986
2791,HDAC9,NFKB1,Repression,15964798
2793,HDAC9,RELA,Repression,15964798
2796,HDAC9,TP53,Repression,15964798
2806,HES1,E2F1,Repression,15467735
2825,HEYL,AR,Repression,21454491
2826,HHEX,HNF4A,Activation,22068426
2831,HIC1,E2F1,Repression,19486893
2834,HIC1,MYC,Repression,24067369
2835,HIC1,SIRT1,Repression,19525223;19649206
2836,HIC1,SIRT1,Unknown,22064865
2837,HIC1,STAT3,Activation,24067369
2848,HIF1A,AR,Activation,17426252;21056661
2849,HIF1A,ARNT,Unknown,12239177
2865,HIF1A,E2F3,Activation,20308562
2879,HIF1A,HIF1A,Repression,14744852
2914,HIF1A,STAT3,Unknown,23991099
2930,HIF1A,VHL,Unknown,12205091;15962286;17140440
2935,HIF3A,EPAS1,Unknown,19755485
2936,HIF3A,HIF1A,Unknown,19755485
2941,HIPK2,HIF1A,Repression,19046997
2942,HIPK2,MEF2C,Repression,23620283
2944,HIPK2,TP53,Unknown,12851404
2955,HLF,RUNX1,Repression,11486032
2961,HMGA1,BRCA1,Repression,12640109;16007157
2975,HMGA1,SP1,Unknown,20335021
2976,HMGA1,TP53,Unknown,20335021
3044,HNF4A,HNF1A,Unknown,9792724
3050,HNF4A,MYC,Activation,23714368
3067,HNRNPD,KLF2,Unknown,15835916
3074,HOXA1,EPAS1,Unknown,17213808
3077,HOXA1,MYC,Activation,15665309
3093,HOXA10,TP53,Activation,21993662
3094,HOXA10,WT1,Unknown,19017365
3098,HOXA5,PGR,Activation,10875927
3110,HOXA9,NFKB1,Repression,18068911
3111,HOXA9,RELA,Repression,18068911
3115,HOXB1,TCF4,Repression,15126340
3116,HOXB13,TCF4,Repression,15928669
3165,HSF1,JUN,Unknown,24127737
3171,HSF1,NFKB1,Unknown,18689673
3173,HSF1,RELA,Unknown,18689673
3180,HSF2,HIF1A,Unknown,21258402
3190,HSF4,HIF1A,Unknown,21258402
3200,ID4,BRCA1,Repression,12032322;17016441
3202,IFI16,BRCA1,Unknown,22618232
3204,IFI16,MYC,Repression,20052289
3205,IFI16,TP53,Unknown,22618232
3206,IFI16,WT1,Activation,18231640
3211,IKBKB,TP53,Unknown,24006445
3231,ING1,TP53,Activation,15662138;16325212
3250,ING4,TP53,Activation,19895734
3269,IRF1,E2F1,Repression,22200613
3305,IRF1,TP53,Unknown,19003964
3342,IRF6,NR1H4,Unknown,12525500
3343,IRF7,ATF4,Activation,21148039
3356,IRF7,NR1H4,Unknown,23372731
3374,IRF9,PML,Activation,8681971
3378,ISL1,MEF2C,Activation,23152444
3391,JUN,AR,Repression,20148354
3392,JUN,AR,Unknown,16732317
3398,JUN,BRCA1,Activation,17434164
3461,JUN,JUN,Activation,9502786
3462,JUN,JUN,Unknown,19671687
3492,JUN,MYC,Repression,2498162
3512,JUN,PGR,Repression,14684847
3530,JUN,RUNX2,Unknown,11604227
3550,JUN,TP53,Repression,22859294
3551,JUN,TP53,Unknown,10348347
3556,JUN,VDR,Activation,15930183
3619,KAT2B,RB1,Activation,19525977
3622,KAT2B,YY1,Unknown,11486036
3628,KAT5,STAT3,Repression,12551922
3636,KDM4B,AR,Activation,23435229
3639,KDM4B,ESR1,Unknown,23723241
3642,KHDRBS1,AR,Unknown,18273831
3660,KLF12,TFAP2A,Repression,10704285;11373277
3677,KLF2,PPARG,Repression,20693579
3723,KLF4,TP53,Activation,21132436
3724,KLF4,TP53,Repression,17308127
3725,KLF4,TP53,Unknown,18511453
3726,KLF4,VDR,Repression,22677193
3737,KLF5,HIF1A,Activation,23880760
3762,KLF6,PTTG1,Repression,20116377;23977008
3775,KLF9,PGR,Unknown,20463357
3777,L3MBTL1,MYC,Unknown,23543057
3778,L3MBTL1,RUNX1,Repression,18474616
3783,LEF1,AR,Unknown,19351848
3799,LEF1,ESR1,Unknown,18794125
3803,LEF1,MYC,Unknown,19620402
3813,LEF1,TCF4,Unknown,19174556
3820,LIMD1,HIF1A,Repression,22286099
3838,LMO4,BRCA1,Repression,11751867;12925972
3840,LMO4,ESR1,Unknown,16288053
3841,LMO4,MTA1,Unknown,16288053
3853,LYL1,NFKB1,Repression,10023675
3871,MAML1,EGR1,Activation,23029358
3876,MAX,MYC,Unknown,9797456
3886,MAZ,TSG101,Activation,21556761
3906,MCM5,STAT1,Unknown,11248027
3908,MDM4,TP53,Unknown,11528400;17499002;17875722;19910468
3914,MECP2,ESR1,Repression,15870696
3915,MECP2,ESR1,Unknown,21655924;23242655
3921,MED1,AR,Unknown,22102282
3925,MED1,VDR,Unknown,17229570
3930,MEF2A,JUN,Activation,12054430
