date,Cumulative travelers Screened,Suspected at Points of Entry,Travelers Screened at Points ofEntry in last 24 hours
11-Mar-2020,873288,26,21102
12-Mar-2020,894256,29,20968
13-Mar-2020,913542,33,19286
14-Mar-2020,933970,43,20428
15-Mar-2020,954646,59,20676
16-Mar-2020,975634,74,20988
17-Mar-2020,995821,95,20187
18-Mar-2020,1015909,115,20088
19-Mar-2020,1033884,151,17975
20-Mar-2020,1049282,170,15398
